Vehicle_ID,Vehicle_Name,Template_ID,Template_Name,Manufacturer_ID,Manufacturer_Name,Tech_Tier_ID,Tech_Tier_Name,Domain,Family,Vehicle_Type,Size_Class,Role,Genre_Tag,Lift_Mode,Propulsion,Power_Source,Hull_Type,Crew_Min,Crew_Std,Passenger_Cap,Cargo_t,Length_m,Beam_m,Height_m,Mass_t,Local_Cruise_kph,Water_Cruise_kph,Dive_Depth_m,Vacuum_DeltaV_kps,FTL_pc_day,Range_km,Endurance_days,Agility,Sensors,Stealth,Armor,Shields,HP,Hardpoints,Option_Slots,Operating_Cost_cr_day,Maintenance_Hours_100h,Availability,Legal_Class,Default_Option_1_ID,Default_Option_1,Option_1_Cost_cr,Default_Option_2_ID,Default_Option_2,Option_2_Cost_cr,Default_Option_3_ID,Default_Option_3,Option_3_Cost_cr,Base_Price_cr,Total_Price_cr,Notes,Source_Note,Weapon_Profile_1_ID,Weapon_Profile_1,Weapon_Profile_2_ID,Weapon_Profile_2,Default_Loadout_Cost_cr,Combat_Rating,Threat_Rating,Primary_Faction_Tag,Secondary_Faction_Tag,Civilian_Use_Tag,Rarity_Score,Rarity,Vendor_ID,Vendor_Name,Vendor_Class,Economy_Band,Acquisition_Tier,License_Requirement,Upkeep_Band,Campaign_Balance_Points,Encounter_Role,Salvage_Value_cr,Refit_Cap_cr,Crew_Quality_Minimum,Evennia_Typeclass,Prototype_Key,Vehicle_Slug,Domain_Slug,Family_Slug,Vehicle_Type_Slug,Role_Slug,Tech_Tier_Slug,Availability_Slug,Legal_Class_Slug,Rarity_Slug,Economy_Band_Slug,Encounter_Role_Slug,Lockstring,Spawn_Location_Tag,Home_Tag,Import_Action,Active
V-PHV-HB-AER-T1,Aetherion Hover-board Mk I,PHV-HB,Hover-board,AER,Aetherion Guild,1,Frontier,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Battery / Chemical,Composite board,1,1,0,0.06,1.8,0.6,0.2,0.08,58,13,0,0.0,0.0,73,0.5,9,3,6,2,0,7,0,2,65,0.0,Uncommon,Civilian,OPT-06-T1,Bio-Muscle Lattice Mk I,2268,OPT-09-T1,Shield Projector Grid Mk I,5522,OPT-32-T1,Science Lab Module Mk I,5765,1289,14844,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,,,,,0,0.5,0.5,CIV,DRIFT,civilian,0,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,1.3,Utility,3266,2969,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-i,surface,personal-lift,hover-board,personal-transit,frontier,uncommon,civilian,common,street,utility,,,,upsert,True
V-PHV-HB-NVF-T1,Nova Hover-board Mk I,PHV-HB,Hover-board,NVF,Nova Forge Interstellar,1,Frontier,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Battery / Chemical,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.08,58,13,0,0.0,0.0,73,0.5,9,3,5,2,0,7,2,2,125,2.5,Uncommon,Civilian,OPT-03-T1,Terrain Adaptive Actuators Mk I,1588,OPT-12-T1,Phase Veil Baffle Mk I,7308,OPT-29-T1,Long-Range Tankage Mk I,1739,1259,11894,Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: clean naval lines and modular mounts. Focus: balanced interstellar yards.,Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,4.5,4.5,CIV,DRIFT,civilian,0,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,5.3,Line,2617,2379,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,nova-hover-board-mk-i,surface,personal-lift,hover-board,personal-transit,frontier,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-BLW-T1,Bulwark Hover-board Mk I,PHV-HB,Hover-board,BLW,Bulwark Heavy Industries,1,Frontier,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Battery / Chemical,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.08,52,13,0,0.0,0.0,72,0.5,7,2,4,4,0,7,2,2,125,2.3,Uncommon,Civilian,OPT-02-T1,Silent Lift Coils Mk I,1361,OPT-09-T1,Shield Projector Grid Mk I,5522,OPT-31-T1,Probe Bay Mk I,1890,1139,9912,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: slab-sided, overbuilt, military surplus aesthetics. Focus: armor and siege hulls.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,4.8,4.8,CIV,DRIFT,civilian,0,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,5.6,Line,2181,1982,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,bulwark-hover-board-mk-i,surface,personal-lift,hover-board,personal-transit,frontier,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-AER-T2,Aetherion Hover-board Mk II,PHV-HB,Hover-board,AER,Aetherion Guild,2,Standard,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Combustion / Reactor,Composite board,1,1,0,0.06,1.8,0.6,0.2,0.09,68,15,0,0.0,0.0,92,0.6,9,3,6,2,1,8,1,2,68,1.5,Uncommon,Civilian,OPT-06-T2,Bio-Muscle Lattice Mk II,3240,OPT-12-T2,Phase Veil Baffle Mk II,10440,OPT-32-T2,Science Lab Module Mk II,8236,1915,23831,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,,,1800,2.7,2.7,CIV,DRIFT,civilian,0,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,4.3,Utility,5243,4766,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-ii,surface,personal-lift,hover-board,personal-transit,standard,uncommon,civilian,common,street,utility,,,,upsert,True
V-PHV-HB-NVF-T2,Nova Hover-board Mk II,PHV-HB,Hover-board,NVF,Nova Forge Interstellar,2,Standard,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Combustion / Reactor,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.09,68,15,0,0.0,0.0,92,0.6,9,3,5,3,1,8,2,2,128,2.9,Uncommon,Civilian,OPT-02-T2,Silent Lift Coils Mk II,1944,OPT-08-T2,Reactive Plating Array Mk II,6032,OPT-29-T2,Long-Range Tankage Mk II,2484,1859,12319,Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: clean naval lines and modular mounts. Focus: balanced interstellar yards.,Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,4.8,4.8,CIV,DRIFT,civilian,0,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,6.4,Line,2710,2464,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,nova-hover-board-mk-ii,surface,personal-lift,hover-board,personal-transit,standard,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-BLW-T2,Bulwark Hover-board Mk II,PHV-HB,Hover-board,BLW,Bulwark Heavy Industries,2,Standard,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Combustion / Reactor,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.09,62,15,0,0.0,0.0,90,0.7,7,2,4,4,1,8,3,2,127,4.1,Uncommon,Civilian,OPT-02-T2,Silent Lift Coils Mk II,1944,OPT-12-T2,Phase Veil Baffle Mk II,10440,OPT-29-T2,Long-Range Tankage Mk II,2484,1687,16555,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: slab-sided, overbuilt, military surplus aesthetics. Focus: armor and siege hulls.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,6.9,6.9,CIV,DRIFT,civilian,2,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,8.5,Line,3642,3311,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,bulwark-hover-board-mk-ii,surface,personal-lift,hover-board,personal-transit,standard,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-AER-T3,Aetherion Hover-board Mk III,PHV-HB,Hover-board,AER,Aetherion Guild,3,Refined,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Fusion / Arcane Core,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.1,75,16,0,0.0,0.0,106,0.7,10,4,6,2,2,9,2,3,130,3.3,Uncommon,Civilian,OPT-06-T3,Bio-Muscle Lattice Mk III,4050,OPT-09-T3,Shield Projector Grid Mk III,9860,OPT-32-T3,Science Lab Module Mk III,10295,2485,26690,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,4.9,5.9,CIV,DRIFT,civilian,4,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,8.3,Line,5872,5338,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-iii,surface,personal-lift,hover-board,personal-transit,refined,uncommon,civilian,common,crew,line,,,,upsert,True
V-PHV-HB-NVF-T3,Nova Hover-board Mk III,PHV-HB,Hover-board,NVF,Nova Forge Interstellar,3,Refined,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Fusion / Arcane Core,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.1,75,16,0,0.0,0.0,106,0.7,10,4,5,4,2,9,2,3,130,3.2,Uncommon,Civilian,OPT-02-T3,Silent Lift Coils Mk III,2430,OPT-09-T3,Shield Projector Grid Mk III,9860,OPT-29-T3,Long-Range Tankage Mk III,3105,2399,17794,Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: clean naval lines and modular mounts. Focus: balanced interstellar yards.,Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.1,5.1,CIV,DRIFT,civilian,4,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,7.5,Line,3915,3559,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,nova-hover-board-mk-iii,surface,personal-lift,hover-board,personal-transit,refined,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-BLW-T3,Bulwark Hover-board Mk III,PHV-HB,Hover-board,BLW,Bulwark Heavy Industries,3,Refined,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Fusion / Arcane Core,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.1,68,16,0,0.0,0.0,103,0.8,8,3,4,4,2,9,4,3,129,6.0,Uncommon,Civilian,OPT-04-T3,Hydrojet Overdrive Mk III,3510,OPT-07-T3,Ablative Armor Weave Mk III,4725,OPT-31-T3,Probe Bay Mk III,3375,2184,13794,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: slab-sided, overbuilt, military surplus aesthetics. Focus: armor and siege hulls.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,9.1,9.1,CIV,DRIFT,civilian,8,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,11.5,Line,3035,2759,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,bulwark-hover-board-mk-iii,surface,personal-lift,hover-board,personal-transit,refined,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-AER-T4,Aetherion Hover-board Mk IV,PHV-HB,Hover-board,AER,Aetherion Guild,4,Advanced,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Fusion / Gravitic,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.11,85,19,0,0.0,0.0,119,0.8,10,4,7,3,3,10,2,3,133,3.6,Uncommon,Civilian,OPT-05-T4,Void Sail Trim Mk IV,5530,OPT-07-T4,Ablative Armor Weave Mk IV,6048,OPT-32-T4,Science Lab Module Mk IV,13178,3285,28041,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.2,6.2,CIV,DRIFT,civilian,4,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,9.4,Line,6169,5608,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-iv,surface,personal-lift,hover-board,personal-transit,advanced,uncommon,civilian,common,crew,line,,,,upsert,True
