Template_Name,Vehicle_ID,Vehicle_Name,Template_ID,Manufacturer_ID,Manufacturer_Name,Tech_Tier_ID,Tech_Tier_Name,Domain,Family,Vehicle_Type,Size_Class,Role,Genre_Tag,Lift_Mode,Propulsion,Power_Source,Hull_Type,Crew_Min,Crew_Std,Passenger_Cap,Cargo_t,Length_m,Beam_m,Height_m,Mass_t,Local_Cruise_kph,Water_Cruise_kph,Dive_Depth_m,Vacuum_DeltaV_kps,FTL_pc_day,Range_km,Endurance_days,Agility,Sensors,Stealth,Armor,Shields,HP,Hardpoints,Option_Slots,Operating_Cost_cr_day,Maintenance_Hours_100h,Availability,Legal_Class,Default_Option_1_ID,Default_Option_1,Option_1_Cost_cr,Default_Option_2_ID,Default_Option_2,Option_2_Cost_cr,Default_Option_3_ID,Default_Option_3,Option_3_Cost_cr,Base_Price_cr,Total_Price_cr,Notes,Source_Note,Weapon_Profile_1_ID,Weapon_Profile_1,Weapon_Profile_2_ID,Weapon_Profile_2,Default_Loadout_Cost_cr,Combat_Rating,Threat_Rating,Primary_Faction_Tag,Secondary_Faction_Tag,Civilian_Use_Tag,Rarity_Score,Rarity,Vendor_ID,Vendor_Name,Vendor_Class,Economy_Band,Acquisition_Tier,License_Requirement,Upkeep_Band,Campaign_Balance_Points,Encounter_Role,Salvage_Value_cr,Refit_Cap_cr,Crew_Quality_Minimum,Evennia_Typeclass,Prototype_Key,Vehicle_Slug,Domain_Slug,Family_Slug,Vehicle_Type_Slug,Role_Slug,Tech_Tier_Slug,Availability_Slug,Legal_Class_Slug,Rarity_Slug,Economy_Band_Slug,Encounter_Role_Slug,Lockstring,Spawn_Location_Tag,Home_Tag,Import_Action,Active
Abyssal fortress,V-SUB-AF-AER-T5,Aetherion Abyssal fortress Mk V,SUB-AF,AER,Aetherion Guild,5,Military,Submersible,Undersea Craft,Abyssal fortress,Capital,deep command / fortress,Undersea / Sci-Fi,Submersible,Pumpjet / magnetohydrodynamic,Antimatter / Gravitic,Pressure hull,38,53,96,61.7,95.0,18.6,12.4,2430.0,65,45,7750,0.0,0.0,2854,32.6,6,9,5,10,4,737,12,11,12726,297.7,Very Rare,Military,OPT-04-T5,Hydrojet Overdrive Mk V,5897,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-32-T5,Science Lab Module Mk V,17296,1900422,1931553,"Abyssal fortress base frame in the undersea craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-143,Plasma Projector Mk 4-C,WL-103,Missile Rack Mk 4-C,153750,55.2,66.2,NAVY,SEC,restricted,58,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,70.8,Siege,347680,540835,Veteran,typeclasses.vehicles.Watercraft,vehicle/submersible/sub-af,aetherion-abyssal-fortress-mk-v,submersible,undersea-craft,abyssal-fortress,deep-command-fortress,military,very-rare,military,rare,industrial,siege,,,,upsert,True
Ark ship,V-CAP-AK-AER-T5,Aetherion Ark ship Mk V,CAP-AK,AER,Aetherion Guild,5,Military,Space,Capital Ships,Ark ship,Titanic,civilization refuge / migration,Epic Space Opera,Vacuum,Capital-grade drives,Antimatter / Gravitic,Citadel hull,765,1034,144000,226242.5,1239.6,268.6,224.8,783000.0,126,0,0,4.7,0.3,351488,304.7,4,9,3,12,10,17010,14,28,859932,88115.89999999998,Legendary,Sovereign,OPT-23-T5,Drone Rack Mk V,8165,OPT-24-T5,Smuggler's Compartments Mk V,6124,OPT-32-T5,Science Lab Module Mk V,17296,42873120,42904705,"Ark ship base frame in the capital ships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-349,Siege Beam Mk 5-T,WL-339,Siege Beam Mk 3-T,683326,711.1,722.1,CIV,DRIFT,civilian,56,Rare,VEN-007,Guild Forge 1,shipyard,Fleet,Tier 5 - fleet budget,Military,Very High,2988.5,Siege,7722847,17161882,Elite,typeclasses.vehicles.Spacecraft,vehicle/space/cap-ak,aetherion-ark-ship-mk-v,space,capital-ships,ark-ship,civilization-refuge-migration,military,legendary,sovereign,rare,fleet,siege,,,,upsert,True
Armored skimmer,V-HUV-AR-AER-T5,Aetherion Armored skimmer Mk V,HUV-AR,AER,Aetherion Guild,5,Military,Surface,Hover Utility,Armored skimmer,Light,security / assault,Sci-Fi / Military,Hover,Repulsorlift fans,Antimatter / Gravitic,Armored skimmer hull,1,2,2,0.83,5.4,2.8,2.0,3.43,173,35,0,0.0,0.0,822,4.0,9,6,5,6,4,40,4,6,334,8.5,Rare,Restricted,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-27-T5,Bombardment Core Mk V,46872,OPT-02-T5,Silent Lift Coils Mk V,4082,52876,125754,"Armored skimmer base frame in the hover utility family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,10.8,19.8,SEC,CIV,civilian,34,Uncommon,VEN-013,Bastion Armory 1,arsenal,Prosperity,Tier 2 - financed asset,Military,Moderate,23.8,Line,25151,35211,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/huv-ar,aetherion-armored-skimmer-mk-v,surface,hover-utility,armored-skimmer,security-assault,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Assault walker,V-WKR-AW-AER-T5,Aetherion Assault walker Mk V,WKR-AW,AER,Aetherion Guild,5,Military,Surface,Walker Frames,Assault walker,Light,combat / breakthrough,Sci-Fi / Fantasy,Walker,Servo limbs,Antimatter / Gravitic,Articulated frame,2,3,1,1.05,5.9,3.4,5.0,5.74,79,11,0,0.0,0.0,572,6.4,8,6,4,6,4,54,6,6,495,12.8,Rare,Military,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-28-T5,Troop Drop Cradle Mk V,13154,OPT-05-T5,Void Sail Trim Mk V,7258,77663,114640,"Assault walker base frame in the walker frames family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,15.4,24.4,NAVY,SEC,restricted,38,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,28.4,Line,22928,32099,Regular,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/wkr-aw,aetherion-assault-walker-mk-v,surface,walker-frames,assault-walker,combat-breakthrough,military,rare,military,uncommon,prosperity,line,,,,upsert,True
Astral pinnace,V-ARC-AP-AER-T5,Aetherion Astral pinnace Mk V,ARC-AP,AER,Aetherion Guild,5,Military,Space,Arcane Conveyances,Astral pinnace,Light,fast astral courier,Fantasy / Arcane,Arcane,Aether sail,Antimatter / Gravitic,Silverwood,3,4,7,2.06,6.1,3.3,3.0,1.38,125,42,0,11.1,1.0,173910,10.7,9,7,8,4,5,45,4,7,846,8.3,Rare,Restricted,OPT-18-T5,Arcane Astrolabe Mk V,8845,OPT-31-T5,Probe Bay Mk V,5670,OPT-05-T5,Void Sail Trim Mk V,7258,151121,172894,"Astral pinnace base frame in the arcane conveyances family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-305,Point Defense Grid Mk 5-L,WL-265,Boarding Pod Rack Mk 5-L,23650,10.9,21.9,NAVY,SEC,restricted,46,Rare,VEN-007,Guild Forge 1,shipyard,Prosperity,Tier 2 - financed asset,Military,Moderate,25.9,Scout,31121,48410,Regular,typeclasses.vehicles.Spacecraft,vehicle/space/arc-ap,aetherion-astral-pinnace-mk-v,space,arcane-conveyances,astral-pinnace,fast-astral-courier,military,rare,restricted,rare,prosperity,scout,,,,upsert,True
Attack sub,V-SUB-AS-AER-T5,Aetherion Attack sub Mk V,SUB-AS,AER,Aetherion Guild,5,Military,Submersible,Undersea Craft,Attack sub,Medium,stealth strike,Undersea / Sci-Fi,Submersible,Pumpjet / magnetohydrodynamic,Antimatter / Gravitic,Pressure hull,7,10,2,5.14,16.5,5.2,5.5,80.47,69,77,1953,0.0,0.0,2432,28.5,7,8,8,8,4,167,8,8,2569,25.3,Very Rare,Military,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-27-T5,Bombardment Core Mk V,46872,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,476241,540543,"Attack sub base frame in the undersea craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-226,Torpedo Tube Mk 5-M,WL-096,Missile Rack Mk 3-M,60332,24.2,35.2,NAVY,SEC,restricted,50,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,39.3,Line,97298,151352,Regular,typeclasses.vehicles.Watercraft,vehicle/submersible/sub-as,aetherion-attack-sub-mk-v,submersible,undersea-craft,attack-sub,stealth-strike,military,very-rare,military,rare,industrial,line,,,,upsert,True
Battlecruiser,V-CAP-BC-AER-T5,Aetherion Battlecruiser Mk V,CAP-BC,AER,Aetherion Guild,5,Military,Space,Capital Ships,Battlecruiser,Capital,heavy fleet combatant,Epic Space Opera,Vacuum,Capital-grade drives,Antimatter / Gravitic,Citadel hull,204,277,456,205.68,185.9,65.4,41.8,14850.0,134,0,0,9.4,0.5,310260,274.7,5,9,3,12,9,3118,20,15,96034,1711.1,Legendary,Military,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-25-T5,Missile Rack Mk V,15834,OPT-01-T5,Afterburner Vector Pack Mk V,5670,16883560,16913002,"Battlecruiser base frame in the capital ships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-343,Siege Beam Mk 4-C,WL-333,Siege Beam Mk 2-C,326488,167.3,182.3,NAVY,SEC,restricted,80,Prototype,VEN-013,Bastion Armory 1,arsenal,Fleet,Tier 5 - fleet budget,Military,Very High,188.4,Siege,2029560,6765201,Veteran,typeclasses.vehicles.Spacecraft,vehicle/space/cap-bc,aetherion-battlecruiser-mk-v,space,capital-ships,battlecruiser,heavy-fleet-combatant,military,legendary,military,prototype,fleet,siege,,,,upsert,True
Beetle sled,V-BIO-BS-AER-T5,Aetherion Beetle sled Mk V,BIO-BS,AER,Aetherion Guild,5,Military,Surface,Organic Craft,Beetle sled,Light,surface beast vehicle,Bio / Fantasy,Beast-drawn bioframe,Chitin-legged locomotion,Antimatter / Gravitic,Carapace,1,2,1,0.25,4.9,2.7,2.2,1.67,71,11,0,0.0,0.0,2150,15.2,9,7,7,4,5,45,4,6,596,8.3,Rare,Restricted,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-32-T5,Science Lab Module Mk V,17296,118719,153445,"Beetle sled base frame in the organic craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,10.9,19.9,NAVY,SEC,restricted,34,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,23.9,Line,30689,42965,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/bio-bs,aetherion-beetle-sled-mk-v,surface,organic-craft,beetle-sled,surface-beast-vehicle,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Bio frigate,V-BIO-BF-AER-T5,Aetherion Bio frigate Mk V,BIO-BF,AER,Aetherion Guild,5,Military,Space,Organic Craft,Bio frigate,Capital,living starship escort,Bio / Science Fantasy,Adaptive / Organic,Ionized gland sails,Antimatter / Gravitic,Adaptive void tissue,31,43,72,28.79,41.3,18.6,4.3,648.0,134,55,1142,12.5,0.6,118575,85.2,8,7,7,8,6,737,10,7,4783,93.2,Rare,Restricted,OPT-11-T5,Countermeasure Cloud Mk V,6577,OPT-25-T5,Missile Rack Mk V,15834,OPT-04-T5,Hydrojet Overdrive Mk V,5897,421178,449486,"Bio frigate base frame in the organic craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-343,Siege Beam Mk 4-C,WL-333,Siege Beam Mk 2-C,326488,51.2,62.2,NAVY,SEC,restricted,46,Rare,VEN-007,Guild Forge 1,shipyard,Prosperity,Tier 2 - financed asset,Military,Moderate,66.5,Siege,80907,125856,Veteran,typeclasses.vehicles.Spacecraft,vehicle/space/bio-bf,aetherion-bio-frigate-mk-v,space,organic-craft,bio-frigate,living-starship-escort,military,rare,restricted,rare,prosperity,siege,,,,upsert,True
Bomber,V-AIR-BM-AER-T5,Aetherion Bomber Mk V,AIR-BM,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Bomber,Medium,strike platform,Aviation / Sci-Fi,Flight,Turbine / gravitic,Antimatter / Gravitic,Aero hull,2,4,1,3.09,10.3,10.9,3.4,6.02,500,0,0,0.0,0.0,1502,3.3,10,6,5,4,4,74,8,6,967,16.9,Rare,Military,OPT-10-T5,Point-Defense Mesh Mk V,18026,OPT-25-T5,Missile Rack Mk V,15834,OPT-02-T5,Silent Lift Coils Mk V,4082,180474,218416,"Bomber base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-021,Pulse Laser Mk 4-M,WL-421,Flak Cloud Dispenser Mk 4-M,24934,20.0,29.0,NAVY,SEC,restricted,42,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,33.0,Line,43683,61156,Regular,typeclasses.vehicles.Aircraft,vehicle/aerial/air-bm,aetherion-bomber-mk-v,aerial,atmospheric-craft,bomber,strike-platform,military,rare,military,uncommon,prosperity,line,,,,upsert,True
